object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
M483::pattern0::L36,102.57982371492616,39.635508304203356,19.235609654184273,LGBM,2,0,1,low,medium
M484::pattern0::L36,349.7867463191069,187.15194484493304,9.658299011767042,LGBM,2,1,2,medium,high
M485::pattern0::L36,1848.53707324824,848.365129609734,594.1611510658759,AutoETS,0,2,2,high,high
M486::pattern0::L36,315.5609902442006,14.836168575983573,22.91722005208328,AutoARIMA,1,1,0,medium,low
M487::pattern0::L36,1425.6615740314187,20.738336952622607,0.8085394965278283,XGB,3,2,0,high,low
M488::pattern0::L36,712.3655294160708,204.21371969469817,191.67740885416663,AutoETS,0,2,2,high,high
M489::pattern0::L36,347.6551546642154,28.236854888864087,39.58324886519455,XGB,3,1,0,medium,low
M48::pattern0::L36,522.7865278226304,34.76098728772507,6.347852826980272,XGB,3,1,1,medium,medium
M490::pattern0::L36,385.48616583064285,72.47226406173678,27.92138485451204,LGBM,2,1,1,medium,medium
M491::pattern0::L36,734.5179911690027,212.56280159674452,1.9626490392669211,LGBM,2,2,2,high,high
M492::pattern0::L36,1239.8138801383066,38.65595824019219,4.054361979166515,AutoETS,0,2,1,high,medium
M493::pattern0::L36,364.692930127293,68.44188035306188,25.573380665421894,XGB,3,1,1,medium,medium
M494::pattern0::L36,329.71082962645323,22.08310729820694,10.992130712936898,LGBM,2,1,0,medium,low
M495::pattern0::L36,250.46763948271519,54.51486380503568,15.339470691277398,XGB,3,0,1,low,medium
M496::pattern0::L36,461.21597132609196,106.83495389554781,4.127821180555543,AutoARIMA,1,1,2,medium,high
M497::pattern0::L36,381.1024905492665,9.441518614004835,21.345788670989464,LGBM,2,1,0,medium,low
M498::pattern0::L36,203.24795650395347,23.243643485455575,0.01025390625,AutoARIMA,1,0,0,low,low
M499::pattern0::L36,235.67533897929408,19.425903181007243,1.0962456597222285,AutoETS,0,0,0,low,low
M49::pattern0::L36,1023.5744146211032,62.99790632881202,3.6336263020833712,AutoETS,0,2,1,high,medium
M4::pattern0::L36,2864.54931526283,228.61493376381307,499.38541209298637,AutoETS,0,2,2,high,high
M500::pattern0::L36,308.16798794043456,62.92766442268253,22.907149800761772,LGBM,2,1,1,medium,medium
M501::pattern0::L36,74.38019895999136,12.519307420196403,9.902360510104295,XGB,3,0,0,low,low
M502::pattern0::L36,810.1228600539001,221.6874547661241,12.162910912871325,LGBM,2,2,2,high,high
M503::pattern0::L36,111.31776165944632,52.29682559613068,7.644290818811996,LGBM,2,0,1,low,medium
M504::pattern0::L36,980.6008743389913,43.3026800827842,33.66309878118773,LGBM,2,2,1,high,medium
M505::pattern0::L36,3159.3229208506236,300.8737933824255,70.6910911200739,LGBM,2,2,2,high,high
M506::pattern0::L36,840.6047674497995,143.62017286697142,2.7609426290594,XGB,3,2,2,high,high
M507::pattern0::L36,1027.7599799122017,110.15941496283472,12.286067652278803,XGB,3,2,2,high,high
M508::pattern0::L36,366.9735270492997,59.98847308871142,1.8029949159486591,XGB,3,1,1,medium,medium
M509::pattern0::L36,381.6083917063031,7.440052649561909,5.2246258529898455,XGB,3,1,0,medium,low
M50::pattern0::L36,739.4777621578094,178.5339806731475,40.70014105902783,AutoETS,0,2,2,high,high
M510::pattern0::L36,1072.9927537996725,153.44320399695968,0.5836723013097753,LGBM,2,2,2,high,high
M511::pattern0::L36,765.9888753765586,69.92882292194685,1.943891263178898,XGB,3,2,1,high,medium
